"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15, 2022","98.62","101.32","101.55","98.33","-","-2.69%"
"Mar 14, 2022","101.35","107.15","107.19","99.83","-","-5.43%"
"Mar 13, 2022","107.17","109.44","109.44","106.55","-","-1.98%"
"Mar 11, 2022","109.33","105.99","110.29","104.48","368.19K","3.12%"
"Mar 10, 2022","106.02","110.41","114.88","105.53","437.92K","-2.47%"
"Mar 09, 2022","108.70","124.66","126.84","103.63","594.77K","-12.13%"
"Mar 08, 2022","123.70","120.67","129.44","117.07","583.11K","3.60%"
"Mar 07, 2022","119.40","121.33","130.50","115.54","576.02K","3.22%"
"Mar 04, 2022","115.68","107.96","116.02","107.25","493.88K","7.44%"
"Mar 03, 2022","107.67","111.33","116.57","106.43","592.03K","-2.65%"
"Mar 02, 2022","110.60","107.12","112.51","105.18","651.85K","6.95%"
"Mar 01, 2022","103.41","96.09","106.78","95.32","698.81K","8.03%"
"Feb 28, 2022","95.72","94.99","99.10","94.43","490.80K","4.51%"
"Feb 25, 2022","91.59","93.32","95.64","90.06","523.79K","-1.31%"
"Feb 24, 2022","92.81","92.52","100.54","91.45","872.24K","0.77%"
"Feb 23, 2022","92.10","91.74","93.90","90.64","440.57K","-0.27%"
"Feb 22, 2022","92.35","91.75","96.00","90.35","40.75K","-0.32%"
"Feb 21, 2022","92.65","91.62","93.91","89.08","-","1.12%"
"Feb 20, 2022","91.62","91.22","91.74","91.08","-","0.60%"
"Feb 18, 2022","91.07","91.63","92.66","89.03","150.38K","-0.75%"
"Feb 17, 2022","91.76","90.90","93.36","90.62","212.55K","-2.03%"
"Feb 16, 2022","93.66","92.21","95.01","90.00","401.45K","1.73%"
"Feb 15, 2022","92.07","94.83","95.17","90.66","442.64K","-3.55%"
